;365 dagar
;Guld i strupen?
;Sexjournalen
Alakoski, Susanna;April i Anhörigsverige
Alverfors, Ann-Charlotte;Vitnäbb
Andersen, Jens;"""Denna dagen ett liv"""
Antti, Gerda;Livet omkring
Antunes, António Lobo;Tårkommissionen
Avallone, Silvia;Marina Bellezza
Axelsson, Åke;Befrielsen
Ben-Menachem, Michael;Pojken med davidsstjärnan
Berg, Lasse;Vårt inre Afrika
Bergdahl, Olivia;Efter ekot
Bikont, Anna;Vi från Jedwabne
Bouraoui, Nina;Standard
Brentlin, Rola;Vi kallar dem tiggare
Brost, Johannes;Dö inte nyfiken!
Brown, Pierce;Rött uppror
Brunk-Holmqvist, Karin;Akutbjällran
Bruun, Sara;Digitala arbetssätt i klassrummet
Buthler, Dan;En nästan vanlig man
Buthler, Dan;Erövraren
Buthler, Dan;Förlåt min vrede
Buthler, Dan;Mord.net
Condé, Maryse;Livet utan masker
Connelly, Michael;Det brinnande rummet
Connelly, Michael;Skuldens gudar
Connelly, Michael;Svarta lådan
Cornwell, Patricia;Grön död
Cunningham, Michael;Snödrottningen
Danielsson, Katarina;Svenska klassiker
Darrieussecq, Marie;Man måste älska männen mycket
De la Motte, Anders;Memorandom
Desai, Anita;I säkert förvar
Eckeskog, Helena;Läsa och förstå
Eco, Umberto;Upplaga noll
Ehrensvärd Cardell, Amelie;Mystik på svenska slott
Ekerwald, Carl-Göran;Kom, madame, fru
Englund, Peter;Stridens skönhet och sorg. 1915
Engvall, Caroline;Virtuell våldtäkt
Flynn, Gillian;Vass egg
Folkesson, Tove;Sund
Funcke, Nils;Offentlighetsprincipen
Galbraith, Robert, pseud.;Silkesmasken
Geiger, Arno;Den gamle kungen i exil
George, Elizabeth;En ond liten handling
Goffman, Alice;Jagade
Goodwin, Scott;Facebookpolisen
Grebe, Camilla;Handlaren från omsk
Grimsrud, Beate;Evighetsbarnen
Gulliksson, Håkan;Hållbar utveckling
Gunnarsson, Hans;All inclusive
Hakelius, Johan, Rule;Britannia
Hamberg, Emma;Vårjakt i Rosengädda
Hannah, Kristin;Flyga vilse
Harrison, Dick;Ett stort lidande har kommit över oss
Hayder, Mo;Behandlingen
Heberlein, Ann;Gud om vi ska talas vid du och jag måste jag vara helt ärlig
Hellberg, Björn;De tysta
Hoffsten, Louise;En näve grus
Holm, Tanja;Jemen är bra!
Hugo-Bader, Jacek;Vit feber
Indriðason, Arnaldur;Nätter i Reykjavik
Jacobsen, Roy;De osynliga
Jensen, Per;Hunden som skäms
Johansson, Åsa;Att möta döden
Johansson, Tony;Den tredje passageraren
Källner, Niklas;Tills man dör lever man. Men hur gör man?
Keyes, Marian;Kvinnan som stal mitt liv
Kihlgård, Peter;Serenader två.
Kragh, Martin;Rysslands historia
Kumm, Björn;I morgon Brasilien
Lövestam, Sara;Sanning med modifikation
Lagerkvist, Pär;Dvärgen
Lappalainen, Tomas;Mellan 55 och 60
Larsson, Lisbeth;Promenader i Virginia Woolfs London
Larsson, Victoria;Ett norrländskt trauma
Lehane, Dennis;The drop
Leon, Donna;Inte ens I döden
Lerin, Lars;Naturlära
Lindén, Zinaida;För många länder sedan
Lindell, Unni;Brudkistan
Lindgren, Astrid;Krigsdagböcker 1939-1945
Lindgren, Barbro;Varför inte tala såsom ett barn
Lodenius, Anna-Lena;Vi säger vad du tänker
Lorentzen, Trude;Mysteriet mamma
Lundälv, Jörgen;Blogga tryggt
Lundell, Sanna;Djävulsdansen
Lundholm, Lars Bill;Citymorden
Mårtenson, Jan;Medicis ring
Macgregor, Virginia;Vad Milo såg
Martinez, Carole;Viskningarnas borg
Martinus, Eivor;Barndrottningen Filippa och hennes värld.
Melberg, Enel;Det borde varit stjärnor
Modiano, Patrick;De dunkla butikernas gata
Modiano, Patrick;De yttre boulevarderna
Modiano, Patrick;Horisonten
Modiano, Patrick;Place de l'Étoile
Mosander, Jan;Berlin
Nabokov, Vladimir;Ögat
Nicholls, David;Vi
Norén, Lars;Fragment
Norðdahl, Eiríkur Örn;Ondska
Nordberg, Jenny;De förklädda flickorna i Kabul
Nordstrand, Staffan;Byggfirman
O'Connor, Flannery;Allt som stiger måste stråla samman
Ohlsson, Kristina;Mios blues
Palmkvist, Conny;Håll inte tillbaka kärleken, William Holden.
Phillips, Jayne Anne;Historien om Quiet Dell
Redin, Göran;En skärva hopp
Ring, Ken;Detta är en berättelse om livet
Ringdahl, Ola;Att stå bredvid cancer
Roll, Lise-Lotte;Ole dole död
Rudberg, Denise;Inte riktigt enligt plan
Sarenbrant, Sofie;Avdelning 73
Schulman, Ninni;Vår egen lilla hemlighet
Segal, Zindel V;Mindfulnessbaserad kognitiv terapi vid depression
Sellou, Abdel;En oväntad vänskap
Shamsie, Kamila;Brända skuggor
Shriver, Lionel;Store bror
Stamm, Peter;Agnes
Stein, Jesper;Oro
Tadjer, Akli;Paradisbaden
Trolle, Jonas;Jakten på Kapten Klänning
Vojnovic, Goran;Jugoslavien
Wahlberg, Karin;Livet går vidare
Wall, Gunnar;Maktens mörka korridorer
Walters, Louise;Mrs Sinclairs resväska
Waters, Sarah;Hyresgästerna
Wijkmark, Carl-Henning;Romaner
Wilderäng, Lars;Stjärnklart
Winch, Guy;Första hjälpen för känslor
Zevin;Gabrielle,Livet enligt herr Fikry
Åhman Owetz, Eli;Anna-Lisas antik
Öhman, Anders;Litteraturdidaktik
Stefánsson, Jón Kalmar;Fiskarna har inga fötter
Alverfors, Ann-Charlotte;Vitnäbb
Antunes, António Lobo;
Eder, Karl;De 7 vuxensynderna
Broström, Stig;Liv och lärande i den tidiga förskolan
Kåreland, Lena;Skönlitteratur för barn och unga
Zeuthen, Louise;Kruka.
Härenstam, Magnus;Morsning och goodbye
Hirdman, Yvonne;Medan jag var ung
Milles, Karin;Agneta Horn
;Sociologins teoretiker
Bergfeldt, Carina;Sju dagar kvar att leva
Adler-Olsen, Jussi;Den gränslöse
Agrell, Wilhelm;Mannen från Suez
Atwood, Margaret;MaddAddam
Buthler, Dan;Hämnaren
Child, Lee;Personligt
Gavalda, Anna;Hjärtat i vår vänskap
Gerhardsen, Carin;Falleri, fallera, falleralla
Gurnah, Abdulrazak;Den sista gåvan
Gyland, Henriette;Tsarens kniv
Hagberg, Mattias;De användbara
Heivoll, Gaute;Över kinesiska havet
Jewel, Lisa;Den tredje hustrun
Jörgensdotter, Anna;Drömmen om Ester
Louis, Édouard;Göra sig kvitt Eddy Bellegueule
Nilsson, Johanna;Det grönare djupet
O'Farrell, Maggie;Den hand som först höll min
O'Yeah, Zac;Operation: operation
Pearse, Lesley;En överlevare
Sveland, Maria;Befrielsen
