ISBN;Titel;Boktyp;Författare;Förlag;Kategorier;Accesslån, SEK;Stycklicens, SEK
9789187711329;Gyllene triangeln;E-bok;Genberg, Kjell E.;Wela Förlag;Deckare & spänning;15,00 SEK; 
9789188049186;Fyrtio minuter, hundratals beslut;E-bok;Steinberg, John;Eldsjälsförlaget;Pedagogik;40,00 SEK;20,00 SEK
9789175910826;Flamingos;E-bok;Brick, Stan;Posiphone;"Bilderböcker; Resor & geografi; Naturvetenskap";20,00 SEK; 
9789176151556;Djävulens sista dans;E-bok;Widlund, Pia;Melker Förlag;Noveller;19,75 SEK;185,00 SEK
9789173350457;Place and Identity: A New Landscape of Social and Political Change in Sweden;E-bok;Eimermann, Marco;Books on Demand ;Samhälle & politik;60,68 SEK; 
9789187919213;Vattenlek;E-bok;Sjöholm, Tommy;En sida till förlag;Noveller;5,00 SEK;50,00 SEK
9789100133634;Den nya kvinnostaden;E-bok;Burton, Nina;Albert Bonniers förlag;Litterära essäer;20,00 SEK;180,00 SEK
9789100146368;Börs och katedral - sex generationer Bonniers;E-bok;Bonnier, Eva;Albert Bonniers förlag;Samhälle & politik;4,50 SEK;40,50 SEK
9789176455166;Spökhanden;E-bok;Lagerlöf, Selma;Modernista;Noveller;20,00 SEK;120,00 SEK
9789176455159;Frid på jorden;E-bok;Lagerlöf, Selma;Modernista;Noveller;20,00 SEK;120,00 SEK
9789176455142;Dödskallen;E-bok;Lagerlöf, Selma;Modernista;Noveller;20,00 SEK;120,00 SEK
9789176455135;Bortbytingen;E-bok;Lagerlöf, Selma;Modernista;Noveller;20,00 SEK;120,00 SEK
9789164233110;Rosengädda nästa!;Ljudbok;Hamberg, Emma;Piratförlaget;Romaner;45,00 SEK; 
9789175771755;Magister Tutnäsa - Rena rama cirkusen;E-bok;Rockbäck, Johan;Idus förlag;"Barn & Ungdom; 9-12 år; 6-9 år";20,00 SEK;79,00 SEK
